ts_ms,kind,id,sub,outcome,end_ms,latency_ms,detail
19140.65,CTRL,C1-0,LOAD_SLOW,OK,20144.9,1004.25,→ v3
19996.12,CTRL,C0-1,REPLACE_V2,OK,19997.12,1.0,→ v4
21145.31,CTRL,C1-1,LOAD_SLOW,OK,22148.43,1003.13,→ v5
21157.28,CTRL,C0-2,RELOAD_V2,OK,21158.79,1.5,→ v6
21168.52,CALL,W1-1,slow_greet,v2,23169.19,2000.68,"Slow hey, W1-1! Welcome back! (from greeter v2.0"
21168.74,CALL,W0-1,slow_greet,v2,23169.09,2000.34,"Slow hey, W0-1! Welcome back! (from greeter v2.0"
21168.77,CALL,W2-1,slow_greet,v2,23169.16,2000.39,"Slow hey, W2-1! Welcome back! (from greeter v2.0"
21169.15,CALL,W3-1,slow_greet,v2,23170.2,2001.05,"Slow hey, W3-1! Welcome back! (from greeter v2.0"
21169.26,CALL,W4-1,slow_greet,v2,23170.17,2000.9,"Slow hey, W4-1! Welcome back! (from greeter v2.0"
21169.8,CALL,W5-1,slow_greet,v2,23170.11,2000.31,"Slow hey, W5-1! Welcome back! (from greeter v2.0"
21169.91,CALL,W7-1,slow_greet,v2,23170.14,2000.23,"Slow hey, W7-1! Welcome back! (from greeter v2.0"
21169.94,CALL,W6-1,slow_greet,v2,23170.08,2000.14,"Slow hey, W6-1! Welcome back! (from greeter v2.0"
21170.45,CALL,W9-1,slow_greet,v2,23170.76,2000.31,"Slow hey, W9-1! Welcome back! (from greeter v2.0"
21170.49,CALL,W10-1,slow_greet,v2,23170.74,2000.25,"Slow hey, W10-1! Welcome back! (from greeter v2."
21170.51,CALL,W11-1,slow_greet,v2,23170.68,2000.17,"Slow hey, W11-1! Welcome back! (from greeter v2."
21170.54,CALL,W8-1,slow_greet,v2,23170.71,2000.17,"Slow hey, W8-1! Welcome back! (from greeter v2.0"
21171.01,CALL,W12-1,slow_greet,v2,23171.3,2000.3,"Slow hey, W12-1! Welcome back! (from greeter v2."
21171.09,CALL,W14-1,slow_greet,v2,23171.46,2000.37,"Slow hey, W14-1! Welcome back! (from greeter v2."
21171.13,CALL,W13-1,slow_greet,v2,23171.43,2000.29,"Slow hey, W13-1! Welcome back! (from greeter v2."
21171.15,CALL,W15-1,slow_greet,v2,23171.51,2000.36,"Slow hey, W15-1! Welcome back! (from greeter v2."
23015.31,CTRL,C0-3,UNLOAD,OK,23015.66,0.35,unload=True
23199.48,CALL,W0-2,slow_greet,degraded,23199.54,0.07,[fallback-slow] Service temporarily unavailable 
23200.2,CALL,W2-2,slow_greet,degraded,23200.21,0.01,[fallback-slow] Service temporarily unavailable 
23200.26,CALL,W1-2,slow_greet,degraded,23200.27,0.01,[fallback-slow] Service temporarily unavailable 
23200.29,CALL,W6-2,slow_greet,degraded,23200.3,0.01,[fallback-slow] Service temporarily unavailable 
23200.74,CALL,W5-2,slow_greet,degraded,23200.74,0.01,[fallback-slow] Service temporarily unavailable 
23200.78,CALL,W3-2,slow_greet,degraded,23200.79,0.01,[fallback-slow] Service temporarily unavailable 
23200.82,CALL,W7-2,slow_greet,degraded,23200.82,0.01,[fallback-slow] Service temporarily unavailable 
23201.5,CALL,W4-2,slow_greet,degraded,23201.53,0.03,[fallback-slow] Service temporarily unavailable 
23201.59,CALL,W15-2,slow_greet,degraded,23201.6,0.01,[fallback-slow] Service temporarily unavailable 
23201.62,CALL,W9-2,slow_greet,degraded,23201.64,0.01,[fallback-slow] Service temporarily unavailable 
23201.67,CALL,W8-2,slow_greet,degraded,23201.68,0.01,[fallback-slow] Service temporarily unavailable 
23201.7,CALL,W11-2,slow_greet,degraded,23201.71,0.01,[fallback-slow] Service temporarily unavailable 
23201.75,CALL,W10-2,slow_greet,degraded,23201.76,0.01,[fallback-slow] Service temporarily unavailable 
23201.78,CALL,W13-2,slow_greet,degraded,23201.79,0.01,[fallback-slow] Service temporarily unavailable 
23202.13,CALL,W12-2,slow_greet,degraded,23202.14,0.01,[fallback-slow] Service temporarily unavailable 
23202.67,CALL,W14-2,slow_greet,degraded,23202.92,0.26,[fallback-slow] Service temporarily unavailable 
23229.95,CALL,W0-3,slow_greet,degraded,23230.06,0.11,[fallback-slow] Service temporarily unavailable 
23230.62,CALL,W6-3,slow_greet,degraded,23230.62,0.01,[fallback-slow] Service temporarily unavailable 
23231.14,CALL,W1-3,slow_greet,degraded,23231.19,0.04,[fallback-slow] Service temporarily unavailable 
23231.38,CALL,W7-3,slow_greet,degraded,23231.47,0.09,[fallback-slow] Service temporarily unavailable 
23231.5,CALL,W3-3,slow_greet,degraded,23231.52,0.01,[fallback-slow] Service temporarily unavailable 
23231.55,CALL,W5-3,slow_greet,degraded,23231.56,0.01,[fallback-slow] Service temporarily unavailable 
23231.62,CALL,W2-3,slow_greet,degraded,23231.63,0.01,[fallback-slow] Service temporarily unavailable 
23232.01,CALL,W8-3,slow_greet,degraded,23232.09,0.08,[fallback-slow] Service temporarily unavailable 
23232.15,CALL,W10-3,slow_greet,degraded,23232.18,0.03,[fallback-slow] Service temporarily unavailable 
23232.36,CALL,W11-3,slow_greet,degraded,23232.37,0.02,[fallback-slow] Service temporarily unavailable 
23233.01,CALL,W13-3,slow_greet,degraded,23233.02,0.01,[fallback-slow] Service temporarily unavailable 
23233.04,CALL,W4-3,slow_greet,degraded,23233.05,0.01,[fallback-slow] Service temporarily unavailable 
23233.08,CALL,W12-3,slow_greet,degraded,23233.09,0.01,[fallback-slow] Service temporarily unavailable 
23233.11,CALL,W15-3,slow_greet,degraded,23233.12,0.01,[fallback-slow] Service temporarily unavailable 
23233.14,CALL,W14-3,slow_greet,degraded,23233.15,0.01,[fallback-slow] Service temporarily unavailable 
23233.18,CALL,W9-3,slow_greet,degraded,23233.2,0.01,[fallback-slow] Service temporarily unavailable 
23261.19,CALL,W0-4,slow_greet,degraded,23261.2,0.02,[fallback-slow] Service temporarily unavailable 
23261.3,CALL,W6-4,slow_greet,degraded,23261.32,0.02,[fallback-slow] Service temporarily unavailable 
23261.34,CALL,W1-4,slow_greet,degraded,23261.35,0.01,[fallback-slow] Service temporarily unavailable 
23261.72,CALL,W5-4,slow_greet,degraded,23261.73,0.01,[fallback-slow] Service temporarily unavailable 
23262.46,CALL,W3-4,slow_greet,degraded,23262.47,0.01,[fallback-slow] Service temporarily unavailable 
23262.5,CALL,W10-4,slow_greet,degraded,23262.52,0.01,[fallback-slow] Service temporarily unavailable 
23262.55,CALL,W7-4,slow_greet,degraded,23262.56,0.01,[fallback-slow] Service temporarily unavailable 
23262.58,CALL,W11-4,slow_greet,degraded,23262.59,0.01,[fallback-slow] Service temporarily unavailable 
23262.64,CALL,W2-4,slow_greet,degraded,23262.65,0.01,[fallback-slow] Service temporarily unavailable 
